Date,Investment_Value
2009-08-27,286.6249794138839
2009-08-28,286.5602322858774
2009-08-31,282.60909802835675
2009-09-01,278.33401820496
2009-09-02,277.9453255110774
2009-09-03,280.6010673673745
2009-09-04,284.81137007335855
2009-09-08,287.46705195084326
2009-09-09,290.25243801018445
2009-09-10,292.97400844465983
2009-09-11,293.0387041500728
2009-09-14,294.58915781696646
2009-09-15,295.8166115195723
2009-09-16,299.8866084767434
2009-09-17,299.43436665249754
2009-09-18,300.2122236419327
2009-09-21,300.01733919789285
2009-09-22,301.9008820444773
2009-09-23,298.52341518977
2009-09-24,295.4705356690225
2009-09-25,293.13225244970374
2009-09-28,298.13367631161384
2009-09-29,298.13367631161384
2009-09-30,297.02946117172354
2009-10-01,289.6248726356111
2009-10-02,287.6112367700995
2009-10-05,291.3136510778502
2009-10-06,296.0552490209895
2009-10-07,296.8345167078364
2009-10-08,299.8873962285839
2009-10-09,301.5761446608994
2009-10-12,301.90088204447744
2009-10-13,302.1606179334773
2009-10-14,306.837334421733
2009-10-15,308.0064010065833
2009-10-16,306.3177426040387
2009-10-19,309.5004750643243
2009-10-20,307.6168721978926
2009-10-21,305.66820781703547
2009-10-22,307.61687219789263
2009-10-23,305.2134674443012
2009-10-26,302.09573647859384
2009-10-27,300.0173391978931
2009-10-28,292.7425135715479
2009-10-29,299.1729199668499
2009-10-30,291.57344698669755
2009-11-02,293.58693280259104
2009-11-03,295.2108597998701
2009-11-04,299.5625688152352
2009-11-05,301.9008820444776
2009-11-06,303.2649531130623
2009-11-09,309.1757076708228
2009-11-10,308.65611585312854
2009-11-11,310.2798627908659
2009-11-12,307.42204777370006
2009-11-13,309.8901239127097
2009-11-16,314.1120700183075
2009-11-17,314.4368674217328
2009-11-18,313.3975637466498
2009-11-19,309.2405891257065
2009-11-20,307.6816936329292
2009-11-23,310.9293675679457
2009-11-24,310.73457315367665
2009-11-25,313.2027693323808
2009-11-27,307.9414895417763
2009-11-30,306.25271109953724
2009-12-01,312.4233515959158
2009-12-02,312.748148999341
2009-12-03,310.27986279086605
2009-12-04,311.4489293757164
2009-12-07,310.99424902282937
2009-12-08,308.13640399573995
2009-12-09,309.63035801378646
2009-12-10,311.77369676921813
2009-12-11,312.488203040876
2009-12-14,316.25564885312855
2009-12-15,315.6059640165072
2009-12-16,316.125585844125
2009-12-17,312.9430034334576
2009-12-18,315.0785696186696
2009-12-21,318.8550484179341
2009-12-22,320.41775517101223
2009-12-23,322.5014642081952
2009-12-24,323.67338173579014
2009-12-28,324.5849631759127
2009-12-29,323.738413240292
2009-12-30,323.9989293873062
2009-12-31,320.74324280268104
2010-01-04,325.8873038315948
2010-01-05,326.7337037175974
2010-01-06,326.9290083005681
2010-01-07,327.18955445750595
2010-01-08,329.4033265036924
2010-01-11,328.9475357836311
2010-01-12,324.780387798578
2010-01-13,328.6219581221916
2010-01-14,328.9475357836312
2010-01-15,325.3012400330647
2010-01-19,329.3382649892671
2010-01-20,325.757030753126
2010-01-21,322.0456434782105
2010-01-22,312.40897684249853
2010-01-25,314.4275343354851
2010-01-26,313.4508313610899
2010-01-27,314.948446589819
2010-01-28,309.93486870883964
2010-01-29,307.0698213000795
2010-02-01,310.2603563405084
2010-02-02,313.9716835955767
2010-02-03,313.5809243800172
2010-02-04,302.7724602564048
2010-02-05,304.1397423868177
2010-02-08,303.22813093677155
2010-02-09,307.0046097360361
2010-02-10,305.7024191299722
2010-02-11,310.6509054866026
2010-02-12,310.1300232421923
2010-02-16,314.6879004328813
2010-02-17,316.1204841571087
2010-02-18,319.1806260793741
2010-02-19,319.701538333708
2010-02-22,318.7249253890837
2010-02-23,315.2739942413352
2010-02-24,317.3575532289
2010-02-25,317.683100880416
2010-02-26,318.4645292817641
2010-03-01,322.826981849788
2010-03-02,323.41301563839454
2010-03-03,324.51993167141137
2010-03-04,325.1710269744433
2010-03-05,329.2731134450711
2010-03-08,329.2731134450711
2010-03-09,329.9242687679503
2010-03-10,331.226399354167
2010-03-11,332.1380408141368
2010-03-12,332.8542276415177
2010-03-15,331.9427362311661
2010-03-16,334.6775105614574
2010-03-17,336.3052488190372
2010-03-18,335.7843365647033
2010-03-19,333.3186912295076
2010-03-22,335.732179317438
2010-03-23,337.94994268346693
2010-03-24,336.2539918694808
2010-03-25,335.27560833936246
2010-03-26,334.9494304794503
2010-03-29,337.6890364074456
2010-03-30,338.6021483536732
2010-03-31,337.0366806876213
2010-04-01,336.97146912357783
2010-04-05,342.64640570147
2010-04-06,343.0376450758075
2010-04-07,340.7547601755059
2010-04-08,341.8636268535586
2010-04-09,344.21172331790376
2010-04-12,344.7335958897938
2010-04-13,344.9293506216188
2010-04-14,347.9952244392972
2010-04-15,348.8429447619395
2010-04-16,344.4728396633906
2010-04-19,343.68997078570834
2010-04-20,346.7787719667153
2010-04-21,347.1048840249824
2010-04-22,348.9322464284468
2010-04-23,351.73827526197323
2010-04-26,350.95524003902483
2010-04-27,343.1894677245963
2010-04-28,343.8420821428022
2010-04-29,348.01864028472835
2010-04-30,342.0802003505587
2010-05-03,345.99564667415035
2010-05-04,336.4679925674782
